step,precise,run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24,run_25,run_26,run_27,run_28,run_29
780000,2176723,2181943.46,2204347.22,2176506.55,2152992.05,2134262.23,2096703.81,2239014.86,2124379.38,2196992.59,2187096.61,2210281.12,2158734.67,2153933.00,2188225.51,2298091.58,2169778.10,2042731.94,2172337.90,2143091.17,2265544.13,2137603.66,2424745.76,2218915.40,2117076.77,2120845.62,2111087.05,2057407.82,2172667.79,2114718.86,2192161.94
790000,2204431,2229770.24,2224337.78,2204216.89,2177514.55,2172276.84,2129710.38,2261925.91,2150490.02,2202465.11,2224632.90,2227933.76,2174280.73,2173838.50,2195891.91,2321580.83,2203476.62,2063073.56,2200430.35,2173953.33,2295796.55,2157912.21,2433803.65,2260137.65,2139346.89,2124485.48,2149952.39,2085085.79,2189577.18,2144833.21,2205048.18
800000,2232209,2259274.78,2243689.80,2247845.25,2203852.06,2194905.59,2146606.44,2287052.36,2169000.65,2222109.71,2251208.21,2276250.30,2208809.86,2219738.38,2205575.35,2347111.80,2235182.01,2085975.18,2216188.16,2212765.14,2318478.50,2181778.22,2458149.82,2289397.75,2171504.30,2146962.02,2159704.94,2125348.93,2213262.00,2159366.46,2230426.25
810000,2259873,2282972.84,2256985.05,2273023.28,2228048.90,2224187.90,2163867.31,2325014.69,2214395.63,2248956.34,2278976.68,2302286.41,2228894.34,2249359.41,2233431.05,2380054.95,2270803.24,2105668.26,2251048.30,2234729.64,2351510.35,2219329.54,2488040.98,2300887.27,2181838.30,2164536.11,2197858.83,2140786.34,2255992.88,2197605.82,2248811.91
820000,2287632,2300366.99,2276388.47,2297705.01,2270525.02,2255905.36,2190067.46,2346465.29,2233876.61,2285654.36,2301111.99,2347251.75,2250369.72,2277500.96,2244510.60,2405141.97,2309299.31,2114841.64,2267853.71,2246898.54,2373348.29,2252853.43,2510940.81,2319479.72,2199477.35,2186327.07,2221873.67,2179995.16,2276111.33,2213026.29,2291269.07
830000,2315347,2323766.70,2303284.57,2327781.40,2292336.46,2275969.93,2197844.35,2368010.99,2264888.36,2326900.29,2336565.60,2376764.18,2268515.26,2304638.02,2261734.61,2424455.44,2367884.48,2128655.33,2288819.83,2274246.72,2382942.65,2275108.82,2537577.96,2374397.46,2225120.26,2202152.12,2254730.44,2201121.18,2316089.27,2234195.53,2301493.02
840000,2343008,2332249.33,2333322.61,2383814.72,2326971.20,2310984.21,2221556.70,2407678.33,2296826.54,2373239.87,2365433.88,2395159.28,2287801.14,2326730.30,2301351.79,2433720.48,2410301.62,2157688.88,2314063.97,2291295.58,2392152.53,2294932.83,2559615.60,2398086.48,2240423.69,2230121.74,2281009.13,2225057.76,2335204.51,2269811.08,2343706.01
850000,2370664,2353869.23,2360794.06,2421350.69,2350722.78,2336722.39,2251559.30,2460500.25,2315515.57,2377712.90,2407938.11,2421603.25,2309139.45,2336336.49,2333893.99,2450825.87,2424345.08,2182836.22,2335002.33,2325065.86,2424480.48,2312834.46,2581702.80,2437995.97,2282561.74,2243459.48,2306510.01,2229666.70,2371100.13,2304567.63,2372112.69
860000,2398358,2375779.70,2380028.14,2449439.20,2380557.36,2369599.29,2273932.58,2500636.62,2340608.27,2408418.50,2464016.61,2435419.70,2332856.26,2347857.81,2370089.32,2473969.43,2455605.01,2206178.03,2363479.16,2381768.65,2440673.56,2354180.49,2601233.13,2458414.88,2299308.80,2264492.64,2328912.18,2261799.98,2405659.59,2330162.28,2417984.48
870000,2426067,2410227.37,2401265.56,2491780.56,2429051.20,2389265.90,2298527.46,2515116.84,2390497.79,2450614.55,2467946.60,2465800.63,2346092.67,2364450.82,2396646.46,2511927.02,2464098.04,2229999.33,2381210.26,2407243.04,2447429.24,2422065.04,2626065.54,2483071.65,2354299.42,2299832.77,2342574.67,2281812.28,2441000.68,2356780.45,2442284.63
880000,2453746,2431412.51,2449251.78,2513504.97,2445124.46,2405399.38,2341571.59,2547564.69,2415865.55,2495195.40,2489537.23,2510431.59,2369557.66,2390477.06,2456269.27,2542691.58,2488306.67,2250012.62,2414535.63,2407360.08,2476561.17,2455577.42,2645709.88,2488312.54,2373256.75,2318353.84,2372199.70,2304431.88,2471367.69,2398267.06,2474259.17
890000,2481368,2439077.75,2461671.89,2535189.58,2472596.97,2419976.84,2352138.69,2581819.53,2493106.74,2546656.72,2513293.66,2520013.99,2391618.14,2420272.55,2466531.86,2565615.88,2515612.99,2268983.86,2445783.07,2430521.12,2511736.88,2470987.10,2671402.94,2531437.97,2411280.06,2335632.21,2410540.88,2357536.12,2523768.97,2449884.21,2511087.05
900000,2509042,2474734.50,2525646.63,2575202.24,2498800.87,2435091.27,2376409.50,2600531.90,2522702.15,2601720.05,2544811.05,2559218.72,2413063.84,2438268.90,2487972.61,2599968.63,2556625.46,2278275.43,2465266.40,2466356.21,2537935.64,2508415.63,2689687.02,2565805.95,2454550.34,2363729.50,2444094.80,2395285.10,2554101.26,2486421.67,2531629.08
910000,2536730,2484419.73,2558269.38,2592155.06,2522863.82,2453887.01,2400371.59,2637657.81,2548016.36,2623847.72,2583566.58,2569711.25,2428060.14,2458364.35,2512208.79,2638053.04,2589483.02,2295597.81,2484314.55,2490860.03,2586118.78,2527461.58,2731680.29,2605636.96,2476649.24,2381349.84,2462417.89,2452468.41,2627561.42,2502380.22,2553694.77
920000,2564438,2522000.47,2590932.20,2645616.01,2572607.83,2474241.79,2434358.93,2685728.62,2586211.65,2668388.72,2601210.71,2589601.52,2446777.31,2478545.62,2553471.51,2647786.72,2619483.93,2306719.88,2509496.23,2524900.06,2612918.00,2576919.39,2765782.86,2619975.54,2501098.45,2404707.60,2485095.78,2488958.45,2631960.93,2532063.99,2595458.50
930000,2592133,2546514.50,2603465.27,2702471.19,2608935.14,2491798.20,2450745.32,2725645.52,2624803.97,2707195.89,2633865.18,2612556.10,2464251.33,2508683.71,2605110.03,2687158.82,2674270.50,2310082.93,2543397.68,2534723.19,2636851.23,2604845.57,2781006.12,2654314.74,2510227.76,2418272.33,2510929.87,2502038.42,2680692.93,2567780.00,2618794.47
940000,2619767,2585339.20,2642437.11,2740462.15,2636580.29,2511514.93,2461466.34,2763061.46,2638686.76,2721480.15,2643074.04,2642532.96,2503308.30,2533586.32,2633093.75,2713667.25,2702587.58,2351999.90,2559635.24,2552493.53,2674088.84,2627793.47,2800193.31,2695055.66,2526623.28,2448648.07,2541604.62,2553390.24,2690881.51,2595167.30,2652747.17
950000,2647445,2608733.26,2689368.60,2760938.23,2679019.32,2552952.09,2485186.40,2777163.93,2662523.80,2753871.13,2683031.78,2664144.38,2517559.53,2563758.19,2659969.34,2749149.19,2719807.76,2372965.30,2592468.90,2575059.94,2705355.07,2665635.76,2823747.46,2705640.33,2544802.88,2465964.69,2567101.89,2566027.22,2712699.74,2601712.57,2683004.52
960000,2675169,2631610.14,2708196.51,2799336.22,2731634.37,2580560.18,2511882.22,2787953.34,2692054.18,2767415.61,2689955.29,2684655.83,2544076.59,2582141.40,2688712.58,2778449.57,2731812.16,2414623.93,2611061.12,2616424.73,2753267.00,2677744.83,2842857.62,2768651.12,2586544.11,2505646.86,2585600.77,2586941.07,2730802.26,2624883.33,2703513.29
970000,2702827,2670499.08,2728792.91,2823097.19,2744656.16,2603285.61,2542319.30,2809466.78,2704995.98,2777973.40,2733767.00,2699879.80,2563039.71,2599834.25,2703244.62,2808391.19,2768160.17,2456552.03,2625738.07,2626538.95,2780282.69,2694648.89,2853342.19,2790338.22,2606422.41,2520762.69,2627307.64,2592214.43,2734044.13,2647762.39,2734418.05
980000,2730474,2696054.20,2777155.41,2856973.16,2768751.51,2649675.18,2575243.05,2886272.88,2737144.76,2805518.28,2758131.53,2742023.61,2613189.48,2642710.36,2737317.35,2823685.82,2798511.78,2468246.47,2651255.75,2638294.63,2794088.87,2739372.43,2875880.70,2837956.75,2647348.76,2557445.60,2659410.16,2613973.02,2751358.23,2671764.42,2766192.07
990000,2758149,2709016.06,2813049.30,2893620.62,2805618.87,2667015.46,2605932.66,2914795.75,2752359.50,2825368.78,2791012.81,2776600.62,2642334.65,2657461.01,2781985.12,2859396.36,2813299.03,2504577.49,2665743.39,2679483.69,2853834.27,2766305.56,2900646.05,2875157.94,2669468.78,2592969.52,2674384.48,2633576.25,2789881.30,2679427.05,2815902.63
1000000,2785805,2732788.64,2818172.68,2934776.60,2822571.66,2684365.88,2635476.26,2930667.47,2796822.39,2863273.00,2827994.78,2803403.72,2666812.34,2681930.51,2793127.18,2886735.63,2850877.94,2524497.78,2677853.45,2698908.31,2917737.10,2792043.15,2944502.07,2899061.86,2700921.06,2608404.73,2700032.78,2656180.24,2829417.61,2712861.14,2846006.90
