step,precise,run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24,run_25,run_26,run_27,run_28,run_29
200000,563154,550687.47,553960.26,580613.84,553031.13,521586.32,527493.80,567814.33,601593.23,538994.58,586799.68,564431.98,552439.03,544297.10,545574.89,587509.20,562611.81,540872.46,586332.71,561673.26,533211.47,568281.91,575735.20,583105.25,549612.61,537698.22,545972.31,546424.85,570659.75,544160.09,575048.34
210000,591079,568243.80,589157.87,608477.78,583766.61,544985.86,549333.65,594654.66,619150.70,571031.48,618659.47,582369.23,571082.16,567965.76,574446.66,607816.05,588153.63,569966.33,613609.43,584784.28,549468.52,591555.40,601952.34,613020.32,572088.85,561866.06,570006.52,575044.89,595221.61,566368.22,607532.43
220000,618971,599109.51,618028.21,642207.79,607565.62,567080.10,579363.39,612590.87,651706.37,612801.61,648907.14,612033.80,596970.30,596106.14,603502.86,631808.20,619330.75,595486.02,643555.68,605893.68,578376.20,620145.69,634227.47,639280.92,601119.43,592231.54,588634.33,603213.71,613739.79,594649.97,628364.28
230000,646888,633770.27,648444.00,681684.61,630095.07,595649.66,609269.08,644761.49,672452.29,631510.18,678624.85,650978.56,624961.83,613540.64,633183.96,658091.35,652026.05,629120.74,664419.16,625890.61,612245.75,647304.37,674688.94,665655.28,631542.02,620985.66,620545.46,634130.06,640146.14,612692.02,646233.84
240000,674784,665392.79,676927.06,704817.39,649953.36,617180.59,639158.68,666717.39,703483.08,660593.72,709803.52,682114.75,649531.66,641188.54,661582.40,685230.79,677209.44,648008.02,692094.00,660858.35,641565.51,674847.20,700498.40,682759.69,657693.35,649835.94,654746.23,664293.25,671721.92,642375.20,675319.19
250000,702702,695448.05,706438.88,724997.93,678069.73,639353.92,671023.26,678995.93,725818.90,691438.62,726274.02,718728.92,677726.70,673510.46,692911.94,723616.92,700004.72,672574.46,722174.50,695539.94,656685.35,703776.17,732541.96,712846.78,684666.74,685602.30,672740.08,685666.83,715596.15,657071.17,698743.70
260000,730663,711505.88,733020.73,763451.65,715286.84,674091.83,697676.40,709568.30,746995.91,718112.71,743387.51,757857.16,709643.86,699860.64,714001.90,756715.53,730317.83,696104.02,751539.38,720623.75,685265.47,724938.89,790483.03,727082.53,724153.67,706401.71,708545.95,713931.61,751182.55,677613.37,725830.54
270000,758635,737534.48,757558.87,778791.65,744228.48,696938.67,727612.74,727029.82,771960.45,750550.43,764229.35,788963.71,737720.17,744566.14,733353.89,786450.34,755103.91,711610.37,775164.33,744773.32,704276.67,749996.40,823463.43,759083.88,755419.27,731540.45,730519.18,742978.80,772361.58,704863.40,753138.13
280000,786483,774990.49,786123.75,804738.93,767267.06,720674.88,758753.82,752233.88,796075.25,775286.46,817405.97,832743.97,775957.82,770471.72,753941.94,812505.61,795118.09,729208.68,806633.07,770573.64,747241.80,778908.80,854676.76,778660.76,780742.60,755052.82,765123.15,767961.35,799976.31,726032.67,771298.71
290000,814361,796841.11,816401.91,842238.20,794295.60,750802.40,781828.21,773914.33,828312.64,811698.34,849987.71,870990.62,795294.39,789929.24,779679.96,837008.23,827741.46,752949.52,834136.40,796883.19,771343.39,807035.09,871525.27,802798.95,797411.77,806181.01,794712.11,803160.91,818733.05,756781.21,798443.25
300000,842173,827897.59,829580.71,870244.72,824916.44,790678.19,807650.49,805408.96,864790.19,838809.23,880074.36,889005.53,817133.54,833686.32,804926.16,863575.58,853303.64,783534.74,856789.85,823276.34,804791.25,855487.42,892963.54,828086.57,816821.09,831015.64,819464.74,837106.63,841232.09,774604.71,817856.15
310000,870075,848206.32,855110.68,902006.28,848713.13,816789.93,836918.49,827358.52,895280.81,861668.19,901151.62,912726.10,852678.10,867803.46,849737.00,891291.75,886152.02,804096.94,895173.33,857267.54,834038.27,870466.55,919759.96,856327.84,839505.42,859945.60,848214.04,862338.80,859037.39,814228.22,849861.42
320000,898022,876586.81,878551.88,943276.62,878084.72,836579.13,855617.69,852911.38,921026.24,894755.78,932584.84,943832.46,884289.40,883938.28,878455.44,936875.43,910142.85,831801.77,924730.73,880813.10,879894.51,898772.67,971021.17,881638.31,870193.10,884050.73,882060.52,891079.47,899534.98,845366.96,870969.43
330000,925926,896809.60,904486.04,963874.25,905180.76,863420.76,876263.46,879249.03,936636.60,921978.98,962477.26,977376.20,926759.13,907943.03,901732.16,961163.02,939464.55,859569.59,954444.88,901332.06,903982.40,915659.14,1013141.96,905003.56,908354.23,903253.73,914512.33,919439.86,930993.57,876430.56,892428.28
340000,953839,941414.27,930233.83,992925.00,941550.49,879851.52,900887.24,912708.61,970108.30,941795.05,1002462.29,1014170.44,953052.29,953121.23,933734.54,992802.44,956778.17,893890.85,975716.41,925248.31,929993.59,946119.88,1044097.71,940205.84,940099.99,922333.47,937489.06,936268.96,969084.36,904347.05,912492.58
350000,981713,976176.57,956801.28,1015071.42,979199.86,909683.02,917888.05,947348.53,996083.30,975989.27,1036694.46,1040949.28,985441.60,986858.31,959518.72,1024265.11,985102.34,915576.60,1017898.59,951482.02,955107.95,975745.55,1099069.86,964638.12,958220.07,961465.72,954255.48,956267.43,998313.90,933255.38,957503.79
360000,1009572,998771.39,994126.09,1037086.66,1007573.81,931414.97,948681.46,974869.06,1035625.06,1006624.52,1056040.90,1051828.58,1010535.71,1000052.94,981505.71,1048513.89,1013036.21,935750.59,1053010.10,978941.83,981382.91,992925.00,1129764.05,996771.32,977973.87,984520.85,989295.83,987250.30,1021209.14,960165.58,977155.44
370000,1037428,1037714.93,1021842.86,1075084.87,1034084.56,959368.83,966419.82,1016402.02,1058516.99,1039288.94,1077411.01,1080602.36,1042887.19,1026049.98,1010840.16,1087955.13,1030734.23,956758.53,1082238.11,1002690.67,1002839.17,1007922.16,1147568.84,1024828.72,996835.44,1002906.45,1015405.78,1011695.67,1056688.66,986782.41,1013372.47
380000,1065306,1065929.37,1062312.53,1106704.04,1068793.54,1000177.93,981612.72,1042070.83,1088727.16,1063617.15,1096279.66,1128144.02,1073175.46,1042950.52,1044339.09,1109803.89,1055653.93,980924.81,1113061.49,1024177.05,1025605.00,1027008.98,1179722.28,1050930.37,1017483.20,1026057.95,1045287.08,1039977.90,1075369.25,1026978.69,1032625.17
390000,1093217,1091145.28,1085746.20,1146393.79,1117418.80,1024641.99,1010128.72,1062343.52,1120699.72,1089165.53,1120010.72,1155200.84,1105966.91,1095733.82,1068552.44,1128662.94,1086222.56,1003142.65,1139705.95,1063320.57,1060577.55,1063878.88,1194982.75,1069267.59,1044230.34,1056161.98,1059603.04,1057570.09,1120637.89,1050621.50,1067533.74
400000,1121009,1122714.52,1128699.12,1171842.60,1138224.90,1053887.34,1034352.89,1088715.01,1155482.63,1147909.92,1147298.58,1187276.79,1137157.43,1126130.50,1090281.09,1156338.74,1114121.58,1041196.04,1173107.13,1095479.27,1103009.15,1076835.49,1214563.07,1116764.52,1088392.31,1076459.46,1088618.14,1083334.71,1140539.66,1089858.51,1092633.59
410000,1148778,1162980.90,1156295.71,1187268.56,1155085.67,1085398.12,1062541.92,1122757.88,1178894.14,1188039.04,1171123.72,1201100.81,1176749.09,1172031.57,1122142.84,1189615.59,1145939.44,1073126.22,1205010.58,1142531.75,1136164.47,1097833.75,1252537.47,1145410.72,1111255.50,1105812.73,1110618.35,1098817.01,1166385.41,1102869.81,1129644.64
