step,precise,run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24,run_25,run_26,run_27,run_28,run_29
200000,562967,562780.70,554226.43,566183.55,560537.32,565411.62,555821.28,567258.98,560003.29,566684.48,567805.50,569388.88,562035.20,567940.07,561652.16,562761.95,566807.99,563065.71,546844.51,576454.20,552715.01,572011.60,554047.25,565511.98,563708.98,565093.47,559903.82,578396.21,568385.11,565043.19,565540.11
210000,590836,589160.05,581309.52,593302.54,587317.42,591247.90,586297.53,595334.92,589397.94,598715.30,598969.67,599942.23,588117.70,600226.22,589763.35,592528.86,594616.97,593089.65,573165.52,604219.90,582005.81,601128.15,583117.49,590782.03,591740.26,596368.31,589265.40,602188.15,598866.65,594537.87,596071.63
220000,618751,615142.88,611103.21,624443.26,613945.83,620424.09,612827.42,621273.12,614580.45,625493.78,625021.24,631628.07,617615.46,630491.94,615821.48,620180.54,625097.82,624048.90,602233.62,630961.87,609517.88,624850.99,612207.67,615463.03,619404.94,625817.99,619620.91,629754.00,627519.13,619503.78,625540.64
230000,646794,643654.94,639614.97,654002.26,638275.73,647068.53,640249.66,650829.38,640887.14,656297.57,654273.98,661781.88,645759.31,658421.70,643477.97,649015.03,651115.31,653481.74,633590.63,660849.10,635467.09,651585.27,637506.96,641536.42,646264.78,657427.02,648577.98,659839.90,653268.31,648095.10,654842.34
240000,674745,669342.84,669459.59,682235.41,666965.47,674663.69,671012.46,678607.11,667674.11,682430.37,679189.15,692314.43,674589.08,688345.63,671091.13,677681.18,683355.34,680345.21,664086.33,685951.96,663320.11,679425.67,661470.98,668554.65,673737.63,687438.34,680758.62,691111.14,682145.50,672568.30,679530.42
250000,702699,696002.58,697161.90,710241.68,693817.99,701797.13,700148.02,703373.52,694673.41,711539.24,707773.38,720036.00,700429.34,716862.16,695893.97,704334.25,708462.66,703663.93,691714.49,718615.97,690866.98,706872.07,692603.85,696005.70,698515.70,713429.13,711301.84,721247.76,704317.85,703395.35,707649.18
260000,730509,722012.80,724504.60,737669.64,722147.96,733349.60,729888.99,734211.57,722528.08,735199.32,739084.16,749357.29,731950.49,744132.43,720092.68,730521.39,738157.81,734370.87,718606.74,746465.19,721063.37,733720.62,720297.30,722665.42,724780.40,742693.61,736739.66,746010.74,735211.88,729042.79,733549.61
270000,758337,747129.62,748446.41,765758.80,751691.75,762957.95,760163.86,761433.01,754538.88,761733.29,767466.44,780598.43,758756.99,769972.56,751588.45,759184.65,764455.49,759297.51,746705.80,770874.85,749705.10,761198.98,748645.81,751261.63,752060.70,770813.77,768291.03,773061.77,763398.24,755845.40,761937.00
280000,786200,777730.75,774257.60,797661.33,783194.97,792841.48,787251.55,789255.49,782506.59,793313.29,796568.89,813402.26,786373.49,797759.74,778926.29,790056.80,787933.11,791249.17,773499.09,801023.01,777210.98,790691.98,779271.58,779341.70,779358.56,801287.83,791273.09,801277.47,787414.10,785940.68,792855.82
290000,814046,804002.00,800092.16,824527.75,810876.08,823235.37,815540.52,816854.64,808184.24,818172.66,824503.85,841908.33,816082.33,823092.58,805218.41,823006.00,813166.66,816402.68,801415.98,829158.10,807833.30,817740.02,803316.01,805658.66,802876.65,828987.97,819437.00,829791.92,813554.33,813192.08,822151.74
